theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,neuron projection,GO:0043005,CC,1.73e-04,3.0460503601404842,FDR<0.01,26,ADCY2;ADCY8;ADGRV1;AHCYL2;ALDH1A1;ANK2;APOE;AQP1;ATP1A2;CHL1;CNTN1;DOCK7;DTNA;FAM107A;FARP1;GABBR2;GABRB1;KCNN3;MAP7;NRP2;NTRK2;RTN1;SLC1A3;SLC1A4;TENM4;USH1C
2,synapse,GO:0045202,CC,6.79e-04,2.6798341830945427,FDR<0.01,30,ADCY8;ALDH1A1;ANK2;APOE;CACNA2D3;CADPS;CNTN1;COL4A5;DAPK1;DTNA;ERBB4;FAM107A;FARP1;GABBR2;GABRB1;LAMA1;NRG3;NRP2;NTM;PCDH9;PLEKHA5;RHOB;SLC1A3;SLC1A4;SPARCL1;SRPX2;TENM4;TNIK;USH1C;UTRN
3,basolateral plasma membrane,GO:0016323,CC,6.79e-04,5.470110017371164,FDR<0.01,12,ADCY8;ANK2;AQP1;AQP4;CD38;CD44;ERBB4;MAP7;SLC14A1;SLC4A4;SLCO1C1;SLCO3A1
4,transport across blood-brain barrier,GO:0150104,BP,1.74e-03,11.396062536189925,FDR<0.01,8,ABCC9;ATP1A2;SLC15A2;SLC1A3;SLC1A4;SLC4A4;SLCO1C1;SLCO3A1
5,cell adhesion,GO:0007155,BP,1.87e-03,3.225060203194688,FDR<0.01,23,ADAMTS9;ADGRV1;ANOS1;ASTN2;CD44;CDH20;CDHR3;CHL1;CNTN1;IGFBP7;ITGA6;LAMA1;MYBPC1;NRP2;NTM;PARD3B;PCDH9;RHOB;SPARCL1;SPON1;SRPX2;TENM4;TJP2
6,nucleic acid binding,GO:0003676,MF,2.06e-03,0.28057950536752113,FDR<0.01,9,AHCYL1;EEPD1;ERBB4;PRRX1;RBMS3;RFX4;SSBP2;YAP1;ZNF521
7,cell surface,GO:0009986,CC,6.79e-03,3.1065068429555627,FDR<0.01,17,ADAMTS9;ADCYAP1R1;ADGRV1;ANOS1;ATP1A2;CD38;CD44;ITGA6;LPL;PCSK6;RGMA;SLC1A3;SLC1A4;SLC4A4;SORL1;SRPX2;TLR4
8,sarcolemma,GO:0042383,CC,6.79e-03,7.630407089448906,FDR<0.01,7,ABCC9;ANK2;AQP1;AQP4;ATP1A2;DTNA;UTRN
9,transporter activity,GO:0005215,MF,8.03e-03,2.6442426353503183,FDR<0.01,27,ABCC9;APOE;AQP1;AQP4;ATP13A4;ATP1A2;CACNA2D3;GABRB1;GJA1;GRAMD1C;ITPR2;KCNN3;KCNQ5;OSBPL11;OSBPL3;SLC14A1;SLC15A2;SLC1A3;SLC1A4;SLC24A4;SLC25A48;SLC39A11;SLC4A4;SLCO1C1;SLCO3A1;SORL1;TTYH2
10,fluid transport,GO:0042044,BP,1.36e-02,18.99343756031654,FDR<0.05,5,AHCYL1;AQP1;AQP4;EDNRB;SLC14A1
11,apical plasma membrane,GO:0016324,CC,1.57e-02,3.705123780239089,FDR<0.05,12,ADCY8;AHCYL1;ANK2;AQP1;CD44;GJA1;PARD3B;SHROOM3;SLC15A2;SLC24A4;SLCO3A1;TNIK
12,negative regulation of amyloid-beta formation,GO:1902430,BP,1.66e-02,29.49569127013863,FDR<0.05,4,APOE;NTRK2;RTN1;SORL1
13,extracellular matrix,GO:0031012,CC,3.08e-02,3.1891133907537363,FDR<0.05,13,ADAMTS9;ANOS1;APOE;COL4A5;COL5A3;HPSE2;IGFBP7;LAMA1;PAPLN;PCSK6;SPARCL1;SPON1;SRPX2
14,anchoring junction,GO:0070161,CC,3.10e-02,2.546749867004069,FDR<0.05,18,ADCYAP1R1;ANK2;ARHGAP26;ATP1A2;CD44;CDH20;CDHR3;DOCK7;FAM107A;GJA1;ITGA6;LAMA1;PARD3B;RHOB;SHROOM3;SYNPO2;TJP2;YAP1
15,cyclic nucleotide metabolic process,GO:0009187,BP,3.92e-02,13.057988322717623,FDR<0.05,5,ADCY2;ADCY8;ADCYAP1R1;EDNRB;PDE8A
16,response to oxygen-containing compound,GO:1901700,BP,3.92e-02,2.4479743771799347,FDR<0.05,24,ABCC9;ADCY2;ADCY8;ADCYAP1R1;APOE;AQP1;ATP1A2;CACNA2D3;CD38;DAPK1;EDNRB;FKBP5;GABRB1;GJA1;GRAMD1C;IGFBP7;ITPR2;LPL;MAP3K5;RHOB;SLC1A3;SLC24A4;TLR4;YAP1
17,nucleic acid metabolic process,GO:0090304,BP,3.92e-02,0.38111990240108184,FDR<0.05,12,DPF3;EEPD1;ERBB4;GINS3;ID3;ID4;L3MBTL4;LMO3;PRRX1;RFX4;YAP1;ZNF521
18,monoatomic ion transport,GO:0006811,BP,3.92e-02,2.6834764993474747,FDR<0.05,21,ABCC9;ANK2;AQP1;ATP13A4;ATP1A2;CACNA2D3;EDNRB;GABRB1;GJA1;ITPR2;KCNN3;KCNQ5;SLC15A2;SLC1A3;SLC1A4;SLC24A4;SLC39A11;SLC4A4;SLCO1C1;SLCO3A1;TTYH2
19,receptor complex,GO:0043235,CC,3.99e-02,3.0460503601404842,FDR<0.05,13,ADCYAP1R1;ADGRV1;CD44;ERBB4;GABBR2;GABRB1;ITGA6;ITPR2;LIFR;NRP2;NT5DC3;NTRK2;TLR4
20,renal water homeostasis,GO:0003091,BP,4.06e-02,19.285644292013718,FDR<0.05,4,ADCY2;ADCY8;AQP1;AQP4
21,cytoskeleton,GO:0005856,CC,4.82e-02,2.3607662504348244,FDR<0.05,20,ADCY8;ANK2;ARHGAP26;CARMIL1;DAPK1;DCLK2;FAM107A;FARP1;FMN2;ITPKB;LIMCH1;MAP7;MAST4;NAV3;PPP2R2B;SHROOM3;SYNPO2;TNIK;USH1C;UTRN
